$ ruby-prof 03-prototype/main.rb
Thread ID: 70353863173220
Fiber ID: 70353897479280
Total: 65.707178
Sort by: self_time

 %self      total      self      wait     child     calls  name
 26.25     28.786    17.245     0.000    11.540   990000   Camera#viewport
  9.98     40.807     6.556     0.000    34.252   990000   Camera#can_view?
  8.61      5.656     5.656     0.000     0.000  7922918   Fixnum#/
  2.87      3.047     1.886     0.000     1.161  1089667   Range#include?
  2.73      2.390     1.797     0.000     0.593  2090228   Hash#[]
  2.44      1.601     1.601     0.000     0.000  2111701   Float#<=>
  2.43      1.597     1.597     0.000     0.000  2231451   Fixnum#-
  2.38      1.566     1.566     0.000     0.000  2143749   Fixnum#+
  2.34      1.538     1.538     0.000     0.000  1980483   Gosu::Window#width
  2.25      1.481     1.481     0.000     0.000  1980483   Gosu::Window#height
  2.25      1.475     1.475     0.000     0.000  2102828   Fixnum#*
  1.84      1.639     1.206     0.000     0.433   650000   Vector#size
  1.34      0.881     0.881     0.000     0.000  1204716   Float#-
  1.28      0.840     0.840     0.000     0.000   990958   Gosu::Image#width
  1.06      1.434     0.699     0.000     0.735   120326  *Array#initialize
  1.03      3.170     0.678     0.000     2.492    90000   Vector#collect2
  0.84     65.605     0.552     0.000    65.053        1   Gosu::Window#show_internal
  0.77      0.622     0.504     0.000     0.117   160580   Matrix::ConversionHelper#convert_to_array
  0.74      0.485     0.485     0.000     0.000   710913   Array#[]
  0.74      0.652     0.483     0.000     0.169   260000   Vector#[]
  0.66      0.435     0.435     0.000     0.000   652732   Array#size
  0.59      3.046     0.385     0.000     2.662    50000   Vector#-
  0.55      0.364     0.364     0.000     0.000   500392   Fixnum#<=>
  0.54      0.523     0.355     0.000     0.167   170007   Array#hash
  0.53      0.531     0.351     0.000     0.180   260100   BasicObject#!=
  0.50      0.328     0.328     0.000     0.000   473382   Fixnum#==
  0.50      1.583     0.326     0.000     1.256    40000   Vector#each2
  0.47      2.436     0.306     0.000     2.130    40000   Vector#+
  0.40      0.947     0.263     0.000     0.684   100256   <Class::Vector>#elements
  0.35      3.052     0.227     0.000     2.825    52062  *Array#each
  0.34      2.096     0.227     0.000     1.870    40000   Vector#inner_product
  0.34      0.777     0.226     0.000     0.550    40000   Perlin::GradientTable#index
  0.34      0.222     0.222     0.000     0.000   160580   Vector#initialize
  0.31      0.315     0.205     0.000     0.111    80000   Perlin::GradientTable#perm
  0.29      0.470     0.194     0.000     0.276   130000   Kernel#dup
  0.29      0.524     0.192     0.000     0.332    50006  *Proc#call
  0.29      0.551     0.191     0.000     0.359   100000   Vector#to_a
  0.29      0.291     0.190     0.000     0.102   100000   Array#eql?
  0.27      0.180     0.180     0.000     0.000   250636   Module#===
  0.27     13.855     0.179     0.000    13.677    10000   Perlin::Noise#[]
  0.27      0.276     0.174     0.000     0.102   130001   Kernel#initialize_dup
  0.25      0.167     0.167     0.000     0.000   250014   Kernel#hash
  0.24      0.577     0.161     0.000     0.416    60324   <Class::Vector>#[]
  0.23      0.369     0.148     0.000     0.221    80117   Hash#[]=
  0.19      0.124     0.124     0.000     0.000   170000   Array#[]=
  0.16      0.909     0.105     0.000     0.804    40000   Perlin::GradientTable#[]
  0.16      0.102     0.102     0.000     0.000   130000   Array#initialize_copy
  0.15      0.102     0.102     0.000     0.000   140265   Kernel#block_given?
  0.15      0.102     0.102     0.000     0.000   150000   Numeric#eql?
  0.15      0.101     0.101     0.000     0.000        2   <Class::Gosu::Image>#load_tiles
  0.15      0.099     0.099     0.000     0.000   130006   Kernel#kind_of?
  0.14      0.093     0.093     0.000     0.000   128773   Float#*
  0.12     12.088     0.080     0.000    12.007    30000   Perlin::Noise#iterate
  0.12      0.077     0.077     0.000     0.000   106680   Float#+
  0.11      0.075     0.075     0.000     0.000   100263   Kernel#class
  0.11      0.074     0.074     0.000     0.000   100000   Float#**
  0.10      0.063     0.063     0.000     0.000    82658   Gosu::Image#height
  0.09      0.057     0.057     0.000     0.000    80917   Fixnum#%
  0.09     11.936     0.057     0.000    11.879    70000  *Perlin::Noise#iterate_recursive
  0.08      0.055     0.055     0.000     0.000    80000   Numeric#conj
  0.08      0.213     0.053     0.000     0.160    10256   Vector#collect
  0.08      0.146     0.050     0.000     0.096    10000   Map#choose_tile
  0.07      0.045     0.045     0.000     0.000       99   Gosu::Window#caption=
  0.06      0.042     0.042     0.000     0.000    60007   Array#first
  0.05      0.031     0.031     0.000     0.000    40000   Array#reverse
  0.04      0.029     0.029     0.000     0.000    40004   Array#last
  0.04      0.028     0.028     0.000     0.000        1   Gosu::Window#initialize
  0.04      0.048     0.025     0.000     0.023    10256   Array#collect
  0.04      0.083     0.023     0.000     0.060    17967   Range#===
  0.03      0.020     0.020     0.000     0.000       26   <Class::Gosu::Image>#from_text4
  0.03      0.020     0.020     0.000     0.000       24   Module#module_eval
  0.03     50.201     0.019     0.000    50.182     9999  *Hash#each
  0.03      0.019     0.019     0.000     0.000        2   Gosu::Song#initialize_
  0.03      0.018     0.018     0.000     0.000        3   Magick::Image#to_blob
  0.03      0.030     0.017     0.000     0.013     1969   Bullet#trajectory_length
  0.02      0.014     0.014     0.000     0.000    20000   Float#to_i
  0.02      0.014     0.014     0.000     0.000        1   <Class::Magick::Image>#read
  0.02      0.079     0.014     0.000     0.066     1391   Bullet#update
  0.02      0.047     0.012     0.000     0.035     1428   Bullet#point_at_distance
  0.02      0.075     0.011     0.000     0.063       34  *Kernel#gem_original_require
  0.01      0.063     0.009     0.000     0.054      908   Explosion#draw
  0.01      0.008     0.008     0.000     0.000    10334   Symbol#to_proc
  0.01      0.086     0.008     0.000     0.077     1385   Bullet#draw
  0.01      0.046     0.007     0.000     0.039     1798   Explosion#done?
  0.01      0.007     0.007     0.000     0.000    10002   Array#length
  0.01      0.007     0.007     0.000     0.000     6409   Gosu::Image#draw
  0.01      0.010     0.007     0.000     0.003      890   Explosion#frame_expired?
  0.01      0.007     0.007     0.000     0.000      334   Module#const_get
  0.01      0.025     0.007     0.000     0.018        4   Gosu::Image#initialize
  0.01      0.038     0.006     0.000     0.032     3614   Explosion#animation
  0.01      0.006     0.006     0.000     0.000        2   Gosu::Sample#initialize_
  0.01      0.025     0.005     0.000     0.020       99   Tank#update
  0.01      0.009     0.004     0.000     0.005      908   Explosion#current_frame
  0.01      0.005     0.004     0.000     0.001     3385   <Module::Math>#sqrt
  0.01      0.169     0.004     0.000     0.165      246   Array#map
  0.01      0.015     0.004     0.000     0.011      890   Explosion#update
  0.01      0.004     0.004     0.000     0.000       76   Gosu::Song#play
  0.01      0.006     0.004     0.000     0.002     2832   Numeric#abs2
  0.01      0.022     0.004     0.000     0.018     1416   Vector#magnitude
  0.01      0.009     0.004     0.000     0.005       99   Camera#update
  0.01      0.015     0.004     0.000     0.011     1391   Bullet#done?
  0.01      0.005     0.004     0.000     0.002     1385   Bullet#arrived?
  0.01      0.182     0.003     0.000     0.178       99   PlayState#update
  0.00      0.011     0.003     0.000     0.008     1391   Bullet#exploaded?
  0.00      0.039     0.003     0.000     0.036      256   Perlin::GradientTable#random_unit_vector
  0.00      0.003     0.003     0.000     0.000     2372   <Module::Gosu>#milliseconds
  0.00      0.002     0.002     0.000     0.000        1   <Module::Gosu>#_release_all_openal_resources
  0.00      0.017     0.002     0.000     0.015     1426   Enumerable#inject
  0.00      0.002     0.002     0.000     0.000     1976   Float#>
  0.00      0.006     0.002     0.000     0.004      223   Tank#speed
  0.00      0.002     0.002     0.000     0.000       51   Gosu::Sample#play
  0.00      0.002     0.002     0.000     0.000     1617   Gosu::Window#button_down?
  0.00      0.016     0.002     0.000     0.015      102   Array#reject!
  0.00      0.003     0.002     0.000     0.001      100   Map#tile_at
  0.00     50.297     0.002     0.000    50.295       99   PlayState#draw
  0.00      0.002     0.002     0.000     0.000     1138   BasicObject#!
  0.00     50.292     0.001     0.000    50.290       99   Gosu::Window#scale
  0.00      0.001     0.001     0.000     0.000     1444   Float#/
  0.00      0.005     0.001     0.000     0.003      322   Tank#moving?
  0.00      0.001     0.001     0.000     0.000     1175   Fixnum#>
  0.00      0.002     0.001     0.000     0.001      136   Camera#target_delta_on_screen
  0.00      0.001     0.001     0.000     0.000     1468   Module#method_added
  0.00      0.002     0.001     0.000     0.001       99   Camera#draw_crosshair
  0.00      0.003     0.001     0.000     0.002       37   Camera#mouse_coords
  0.00      0.003     0.001     0.000     0.002      322   Tank#any_button_down?
  0.00      0.031     0.001     0.000     0.030        9  *Kernel#require_relative
  0.00      0.001     0.001     0.000     0.000       99   Tank#change_angle
  0.00     50.293     0.001     0.000    50.292       99   Gosu::Window#translate
  0.00      0.001     0.001     0.000     0.000      312   <Class::File>#file?
  0.00      0.001     0.001     0.000     0.000      750   Fixnum#to_f
  0.00      0.001     0.001     0.000     0.000        7   <Class::Encoding>#find
  0.00      0.001     0.001     0.000     0.000        1   JSON::Ext::Parser#parse
  0.00      0.001     0.001     0.000     0.000      121   Gosu::Window#needs_cursor?
  0.00      0.002     0.001     0.000     0.001       99   Tank#draw
  0.00      0.001     0.001     0.000     0.000      477   Gosu::Window#draw_quad
  0.00      0.001     0.001     0.000     0.000      297   Gosu::Image#draw_rot
  0.00      0.001     0.001     0.000     0.000      904   Random#rand
  0.00      0.001     0.001     0.000     0.000      851   Float#==
  0.00      0.001     0.001     0.000     0.001       25   MenuState#draw
  0.00      0.198     0.001     0.000     0.197      124   GameWindow#update
  0.00      0.004     0.001     0.000     0.003      100   Map#can_move_to?
  0.00      0.001     0.001     0.000     0.000      124   GameWindow#needs_redraw?
  0.00     50.301     0.001     0.000    50.300      248  *Gosu::Window#protected_draw_2
  0.00      0.001     0.001     0.000     0.000      297   Fixnum#to_s
  0.00      0.006     0.000     0.000     0.005       27   Bullet#initialize
  0.00      0.000     0.000     0.000     0.000      477   Float#to_f
  0.00      0.001     0.000     0.000     0.000      100   Tank#sound
  0.00     50.299     0.000     0.000    50.298      124   GameWindow#draw
  0.00      0.008     0.000     0.000     0.008       37   PlayState#button_down
  0.00      0.000     0.000     0.000     0.000      235   Gosu::Window#mouse_x
  0.00      0.003     0.000     0.000     0.002      103   Gem::Specification#contains_requirable_file?
  0.00      0.007     0.000     0.000     0.006       37   Tank#shoot
  0.00      0.000     0.000     0.000     0.000      402   Float#<=
  0.00      0.001     0.000     0.000     0.000       65   MonitorMixin#mon_enter
  0.00      0.000     0.000     0.000     0.000      441   Symbol#to_s
  0.00      0.001     0.000     0.000     0.000       65   MonitorMixin#mon_exit
