➜  code git:(master) ✗ ENABLE_PROFILING=1 ruby 04-prototype-optimized/main.rb
Thread ID: 70210468308080
Fiber ID: 70210468002100
Total: 1.284961
Sort by: self_time

 %self      total      self      wait     child     calls  name
  5.13      0.066     0.066     0.000     0.000    47363   Gosu::Image#draw
  4.20      0.552     0.054     0.000     0.498     3014   Gosu::Window#show
  4.15      0.273     0.053     0.000     0.219     1046   Tank#update
  2.65      0.034     0.034     0.000     0.000        1   <Class::Gosu::Image>#load_tiles
  2.31      0.082     0.030     0.000     0.052     1046   Camera#update
  2.05      0.432     0.026     0.000     0.406     8840  *Range#each
  2.04      0.026     0.026     0.000     0.000    18328   Gosu::Window#button_down?
  1.93      0.034     0.025     0.000     0.009     3843   Array#each
  1.84      0.077     0.024     0.000     0.053     2797   Tank#speed
  1.77      0.471     0.023     0.000     0.449     1046   PlayState#update
  1.61      0.032     0.021     0.000     0.011     1046   Map#tile_at
  1.58      0.020     0.020     0.000     0.000     6601   Gosu::Window#width
  1.55      0.032     0.020     0.000     0.012     1046   Camera#viewport
  1.47      0.024     0.019     0.000     0.005     1046   Tank#change_angle
  1.46      0.153     0.019     0.000     0.134     3463   Array#map
  1.37      0.018     0.018     0.000     0.000     5418   Fixnum#-
  1.35      0.066     0.017     0.000     0.049     3843   Tank#moving?
  1.33      0.017     0.017     0.000     0.000     1046   <Module::Math>#atan2
  1.27      0.511     0.016     0.000     0.494     1046   Map#draw
  1.25      0.715     0.016     0.000     0.699     1046   PlayState#draw
  1.23      0.635     0.016     0.000     0.620     1046   Gosu::Window#scale
  1.21      0.031     0.016     0.000     0.016     1046   Camera#draw_crosshair
  1.16      0.049     0.015     0.000     0.034     3843   Tank#any_button_down?
  0.90      0.023     0.012     0.000     0.012     1046   Tank#draw
  0.88      0.048     0.011     0.000     0.037     1047   Bullet#update
  0.88      0.016     0.011     0.000     0.005     1046   Array#map!
  0.87      0.011     0.011     0.000     0.000     7782   Float#-
  0.84      0.011     0.011     0.000     0.000     6601   Gosu::Window#height
  0.77      0.010     0.010     0.000     0.000       18   Gosu::Window#caption=
  0.76      0.645     0.010     0.000     0.635     1046   Gosu::Window#translate
  0.76      0.010     0.010     0.000     0.000     1371   Camera#target_delta_on_screen
  0.75      0.010     0.010     0.000     0.000     4509   Symbol#to_proc
  0.68      0.009     0.009     0.000     0.000     3138   Gosu::Image#draw_rot
  0.67      0.009     0.009     0.000     0.000     6255   Float#/
  0.67      0.061     0.009     0.000     0.052      847   Explosion#draw
  0.66      0.043     0.009     0.000     0.034     3388   Explosion#animation
  0.66      0.080     0.008     0.000     0.071     1034   Bullet#draw
  0.59      0.040     0.008     0.000     0.032     1046   Map#can_move_to?
  0.58      0.017     0.007     0.000     0.010      325   Camera#mouse_coords
